test,the_assistant,i,you,testgpt,the_gpt,all
youXtestgptXthe_assistantXthe_gptXi,1,0,5,0,0,0
the_assistantXyouXiXthe_gptXtestgpt,0,0,0,6,0,0
youXiXtestgptXthe_assistantXthe_gpt,2,0,1,3,0,0
the_gptXyouXtestgptXthe_assistantXi,0,3,0,3,0,0
testgptXiXyouXthe_assistantXthe_gpt,0,0,6,0,0,0
testgptXthe_gptXthe_assistantXyouXi,0,5,1,0,0,0
iXyouXtestgptXthe_assistantXthe_gpt,0,0,0,6,0,0
testgptXyouXthe_gptXthe_assistantXi,1,3,1,1,0,0
youXtestgptXthe_gptXthe_assistantXi,0,0,6,0,0,0
iXtestgptXthe_assistantXyouXthe_gpt,0,0,6,0,0,0
the_assistantXthe_gptXyouXiXtestgpt,0,0,1,5,0,0
testgptXthe_assistantXiXthe_gptXyou,0,0,6,0,0,0
youXthe_assistantXtestgptXthe_gptXi,0,0,3,3,0,0
iXtestgptXthe_gptXthe_assistantXyou,0,0,6,0,0,0
the_gptXyouXiXthe_assistantXtestgpt,0,0,0,6,0,0
iXyouXtestgptXthe_gptXthe_assistant,0,0,1,5,0,0
iXthe_gptXthe_assistantXyouXtestgpt,0,0,2,4,0,0
testgptXiXthe_gptXyouXthe_assistant,1,0,5,0,0,0
youXthe_gptXtestgptXiXthe_assistant,6,0,0,0,0,0
the_assistantXtestgptXyouXiXthe_gpt,0,0,6,0,0,0
the_gptXthe_assistantXtestgptXyouXi,0,0,6,0,0,0
youXtestgptXiXthe_assistantXthe_gpt,1,0,5,0,0,0
testgptXthe_assistantXyouXthe_gptXi,0,3,3,0,0,0
the_gptXyouXthe_assistantXiXtestgpt,0,0,1,5,0,0
youXthe_assistantXtestgptXiXthe_gpt,0,0,0,4,2,0
testgptXyouXthe_assistantXiXthe_gpt,0,0,0,0,6,0
iXthe_gptXthe_assistantXtestgptXyou,0,0,6,0,0,0
youXiXthe_gptXthe_assistantXtestgpt,0,0,0,6,0,0
youXiXthe_gptXtestgptXthe_assistant,0,0,0,6,0,0
the_gptXyouXthe_assistantXtestgptXi,0,0,0,6,0,0
iXthe_gptXtestgptXyouXthe_assistant,0,0,6,0,0,0
youXthe_assistantXiXthe_gptXtestgpt,0,0,0,6,0,0
the_assistantXiXyouXthe_gptXtestgpt,0,0,0,6,0,0
the_assistantXyouXiXtestgptXthe_gpt,0,0,0,5,1,0
youXthe_assistantXthe_gptXtestgptXi,0,0,0,6,0,0
the_gptXiXthe_assistantXyouXtestgpt,0,0,0,6,0,0
testgptXiXthe_assistantXthe_gptXyou,0,0,6,0,0,0
the_assistantXtestgptXyouXthe_gptXi,0,0,6,0,0,0
the_gptXthe_assistantXiXtestgptXyou,0,0,6,0,0,0
testgptXthe_gptXyouXiXthe_assistant,6,0,0,0,0,0
iXthe_assistantXthe_gptXtestgptXyou,0,0,6,0,0,0
testgptXthe_assistantXthe_gptXiXyou,0,0,6,0,0,0
the_assistantXthe_gptXiXyouXtestgpt,0,0,0,6,0,0
the_gptXiXyouXtestgptXthe_assistant,4,0,1,1,0,0
iXthe_assistantXthe_gptXyouXtestgpt,0,0,0,6,0,0
the_assistantXyouXthe_gptXiXtestgpt,0,0,0,6,0,0
the_gptXtestgptXiXyouXthe_assistant,0,0,6,0,0,0
the_assistantXiXyouXtestgptXthe_gpt,0,0,2,4,0,0
testgptXiXyouXthe_gptXthe_assistant,0,0,6,0,0,0
iXthe_assistantXyouXtestgptXthe_gpt,0,0,5,1,0,0
testgptXthe_assistantXthe_gptXyouXi,0,6,0,0,0,0
iXtestgptXyouXthe_gptXthe_assistant,0,0,5,1,0,0
iXyouXthe_assistantXtestgptXthe_gpt,0,0,0,6,0,0
iXyouXthe_gptXtestgptXthe_assistant,0,0,0,6,0,0
testgptXthe_gptXiXyouXthe_assistant,1,0,5,0,0,0
iXyouXthe_assistantXthe_gptXtestgpt,0,0,1,5,0,0
iXthe_gptXtestgptXthe_assistantXyou,0,0,6,0,0,0
